ID,Modulo,Descripcion,Estado,Evidencia,Archivos,Pendiente,Prioridad
RQF11,Seguridad,Tres niveles de seguridad 33/66/99 desde árbol,Cumplido,security_1/2/3 definidos con prerequisitos; EntrepreneurTreeSecurityAdapter traduce a 0.33/0.66/0.99,Assets/Systems/EntrepreneurTree/EntrepreneurTreeDefinition.cs; Assets/Systems/EntrepreneurTree/EntrepreneurTreeSecurityAdapter.cs; Assets/Systems/EntrepreneurTree/EntrepreneurTreeManager.cs,Conectar visuales finales en escena en vez de placeholders,Medio
RQF12,Seguridad,Requisitos y notificación al desbloquear seguridad sin prerequisitos,Cumplido,Hereda validación general de EntrepreneurTreeManager.CanUnlockNode con requisitos faltantes,Assets/Systems/EntrepreneurTree/EntrepreneurTreeManager.cs; Assets/Systems/EntrepreneurTree/EntrepreneurTreeDefinition.cs,Ninguno crítico,Bajo
RQF13,Ladrones,"Generar ladrones, 1/25 inicial y visuales identificables",Parcial,ShoplifterSystem usa initialOneInNChance=25 y base chance; ShoplifterAgent aplica tint e indicador flotante. No hay vestimentas específicas como lentes/gorras/mochilas,Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs; Assets/Systems/EntrepreneurTree/ShoplifterAgent.cs,Implementar variantes visuales por tipo y gating por lujo/electrodomésticos,Alta
RQF14,Ladrones,Valor objetivo y selección de productos priorizando alto valor,Parcial,ShoplifterSystem define rangos por tipo; ShoplifterAgent reserva artículos vía RobberyInventoryBridge. Rangos no coinciden exactamente con $2.5-$6 y máximos documentales; prioridad alto valor depende de bridge,Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs; Assets/Systems/EntrepreneurTree/ShoplifterAgent.cs; Assets/Systems/EntrepreneurTree/RobberyInventoryBridge.cs,Ajustar rangos por nivel/tipo y documentar selección de lujo/electrodomésticos,Alta
RQF15,Ladrones,"Tres tipos: común, sospechoso y especial con comportamientos diferenciados",Parcial,"Existen Common, Suspicious, Special, además Expert/Fast; el comportamiento principal es compartido y varía color/velocidad/probabilidad, no hay conducta completa de sospechoso por precio alto ni disimulo en caja",Assets/Systems/EntrepreneurTree/ShoplifterAgent.cs; Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs,Implementar comportamientos específicos por tipo y condiciones de precio/lujo,Alta
RQF16,Ladrones,Escalado con expansiones hasta 6.5% de clientes diarios,Parcial,"maxThiefChance=0.065 existe, pero CalculateScaledChance usa día/nivel/dinero; no usa número de expansiones compradas",Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs; Assets/Systems/Expansion/SupermarketExpansionSystem.cs,Conectar SupermarketExpansionSystem.GetPurchasedSalesExpansionCount al cálculo de dificultad,Alta
RQF17,Ladrones,"Intercepción manual, recuperación de productos, recompensa en puntos y notificación escape",Parcial,"Captura manual recupera inventario y muestra notificación; recompensa actual es dinero, no puntos de progreso; escape descuenta valor y registra stats",Assets/Systems/EntrepreneurTree/ShoplifterInteractable.cs; Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs; Assets/Systems/EntrepreneurTree/ShoplifterAgent.cs,Cambiar o sumar recompensa de puntos del árbol y validar inventario físico,Alta
RQF18,Seguridad,Mejoras de seguridad automatizan captura 33/66/99,Cumplido,TryAutomaticArrest usa probabilidad activa; seguridad se desbloquea desde nodos security_1/2/3,Assets/Systems/EntrepreneurTree/EntrepreneurTreeSecurityAdapter.cs; Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs,Usar assets finales de cámaras/guardias/arcos en escena,Medio
RQF19,Alertas,Alertas visuales y sonoras de ladrones,Parcial,"UIGame.AddNotification reproduce notificationClip; hay notificaciones de aparición, detección, arresto y escape. No se verificó clip ni alerta sonora específica",Assets/Systems/EntrepreneurTree/ShoplifterSystem.cs; Assets/StoreSimulator/Scripts/UIGame.cs,Verificar prefab UINotification/audio en Play Mode y agregar alerta sonora específica si falta,Medio
RQF20,Reportes,Registrar robos en reporte diario,Cumplido,"StatsDatabase guarda ladrones aparecidos/detectados/arrestados/escapados, valor perdido/recuperado y productos; UIStats muestra resumen",Assets/StoreSimulator/Scripts/StatsDatabase.cs; Assets/StoreSimulator/Scripts/UIStats.cs,Validar layout del reporte en escena Stats,Medio
RQF21,Guardado,"Autosave al final del día con dinero, día, inventario, precios, expansiones, empleados, roles, árbol y seguridad",Parcial,"UIGame.LeaveToNext llama SaveGameSystem.Save al finalizar día; SaveGameSystem guarda sistemas base; integraciones separadas guardan árbol/empleados/ladrones, expansión y slots. Seguridad se infiere por árbol. No se confirmó carga en Play Mode",Assets/StoreSimulator/Scripts/UIGame.cs; Assets/StoreSimulator/Scripts/SaveGameSystem.cs; Assets/Systems/EntrepreneurTree/EntrepreneurTreeSaveIntegration.cs; Assets/Systems/Expansion/SupermarketExpansionSystem.cs; Assets/Systems/Inventory/ShelfProductSlotSystem.cs,Prueba end-to-end de guardar/cargar y revisar errores por codificación ASCII,Crítica
RQF22,Clientes,Generar 50-75 clientes diarios e incrementar 15% por venta comprada,Parcial,"ExpansionCustomerDemandAdapter aplica +15% al spawnRate por zona; CustomerSystem.spawnRate actual base es 5 por minuto, no 50-75 diarios explícitos",Assets/StoreSimulator/Scripts/CustomerSystem.cs; Assets/Systems/Expansion/ExpansionCustomerDemandAdapter.cs; Assets/Systems/Expansion/SupermarketExpansionSystem.cs,Definir cliente/día real con duración del día y spawnRate; configurar base 50-75 o sistema diario,Alta
RQF23,Pagos,Pago por tarjeta con interacción en terminal,Cumplido,Customer.payCash decide método; CashDesk activa UICashDeskTerminal para tarjeta y valida monto,Assets/StoreSimulator/Scripts/Customer.cs; Assets/StoreSimulator/Scripts/CashDesk.cs; Assets/StoreSimulator/Scripts/UICashDeskTerminal.cs,Verificar UX de terminal en Play Mode,Medio
RQF24,Pagos,"Pago en efectivo con cambio manual, billetes/monedas y validación",Cumplido,"UICashDeskRegister calcula recibido/cambio, CashDesk valida monto y error; CashDeskCash representa valores interactivos",Assets/StoreSimulator/Scripts/UICashDeskRegister.cs; Assets/StoreSimulator/Scripts/CashDesk.cs; Assets/StoreSimulator/Scripts/CashDeskCash.cs,Verificar denominaciones exactas esperadas por diseño,Medio
RQF25-EMP,Empleados,"App Empleados: desbloqueados, contratar y asignar rol",Parcial,"Existe app completa runtime, contratación con costo y roles. Falta comprobar desde escena y descripciones amplias",Assets/UI/Computer/Employees/EmployeeAppUIController.cs; Assets/Systems/EntrepreneurTree/EntrepreneurEmployeeSystem.cs,Play Mode + textos de responsabilidades,Alta
RQF26-EMP,Empleados,"Cajero automático con tiempos 1-12s, 0.5s/producto, tarjeta 1.5s, efectivo 2.5s",No cumplido,"No se encontró coordinador de cajeros automáticos; GetCashierSpeedMultiplier solo ofrece multiplicador, no atiende clientes",Assets/Systems/EntrepreneurTree/EntrepreneurEmployeeSystem.cs; Assets/StoreSimulator/Scripts/CashDesk.cs,Implementar sistema de cashier AI que escanee/cobre según método y cantidad,Crítica
RQF27-EMP,Empleados,Surtidor automático y asignación de producto por espacio,Parcial,EmployeeRestockCoordinator surte cada ciclo; ShelfProductSlotSystem asigna productos a PlacementObject y persiste. No hay UI encontrada para que el jugador seleccione asignación por anaquel,Assets/Systems/EntrepreneurTree/EmployeeRestockCoordinator.cs; Assets/Systems/Inventory/ShelfProductSlotSystem.cs,Crear/integrar UI de asignación de espacios y validar notificaciones por espacio inválido,Alta
RQF28-PRICE,Precios,"UI para modificar precio por producto con ideal/actual, rango 0 a 300% y confirmación",Parcial,"PricingAppUIController muestra nombre, ideal/actual y botones; ProductPricingSystem valida rango. Pero ProductPricingSystem no está conectado por bootstrap/escena; UI usa botones, no teclado ni botón confirmar dedicado",Assets/UI/Computer/Pricing/PricingAppUIController.cs; Assets/Systems/Pricing/ProductPricingSystem.cs; Assets/Systems/EntrepreneurTree/EntrepreneurTreeUIBootstrap.cs,"Agregar ProductPricingSystem al bootstrap, confirmar UX pedida y validar Play Mode",Crítica
RQF29,Ventas,"Ventas descuentan inventario, suman balance y notifican agotados",Parcial,"CashDesk suma dinero y cart.Clear; asset descuenta objetos escaneados. ProductInventorySystem puede detectar stock, pero no hay hook claro de notificación al agotarse en venta",Assets/StoreSimulator/Scripts/CashDesk.cs; Assets/StoreSimulator/Scripts/CustomerCart.cs; Assets/Systems/Inventory/ProductInventorySystem.cs,Conectar evento post-venta a inventario/agotado y mensaje de molestia,Alta
RQF25-PRICE,Precios,Calcular probabilidad de compra por precio,Parcial,ProductPricingSystem implementa fórmula; Customer.cs usa lógica nativa distinta basada en marketPrice y random 20%-75%; adapter documenta que no está plenamente conectado,Assets/Systems/Pricing/ProductPricingSystem.cs; Assets/Systems/Pricing/ProductPurchaseProbabilityAdapter.cs; Assets/StoreSimulator/Scripts/Customer.cs,Unificar fórmula documentada con decisión real del cliente,Crítica
RQF26-PRICE,Precios,Calcular probabilidad de compra extra por precio bajo,No cumplido,"ProductPricingSystem calcula extra, pero ProductPurchaseProbabilityAdapter indica HOOK PREPARED y no conectado a Customer.cs",Assets/Systems/Pricing/ProductPricingSystem.cs; Assets/Systems/Pricing/ProductPurchaseProbabilityAdapter.cs,Conectar ShouldCustomerBuyExtra en Customer.Collect o flujo equivalente,Alta
RQF27-PRICE,Precios,Mostrar probabilidad de compra y extra en UI,Parcial,"PricingAppUIController muestra probabilidad y +extra si >0, pero depende de ProductPricingSystem no conectado",Assets/UI/Computer/Pricing/PricingAppUIController.cs; Assets/Systems/Pricing/ProductPricingSystem.cs,Conectar sistema y validar visualmente,Alta
RQF28-PRICEZERO,Precios,Permitir precio $0.00,Parcial,ProductPricingSystem permite 0; UIPriceLabelWindow base no aplica límite 300 ni confirmación dedicada; flujo real depende del sistema no conectado,Assets/Systems/Pricing/ProductPricingSystem.cs; Assets/StoreSimulator/Scripts/UIPriceLabelWindow.cs,Conectar sistema al flujo de precios real y validar compra a cero,Alta
RQF34,Reportes,"Reporte diario con ventas, gastos, salarios, robos, renta/luz, neto, agotados, perdidos y desempeño",Parcial,UIStats muestra ventas/gastos/profit/clientes/XP/robos/inventario/expansión/logros. No se encontró salario de empleados aplicado como gasto ni renta/luz,Assets/StoreSimulator/Scripts/UIStats.cs; Assets/StoreSimulator/Scripts/StatsDatabase.cs,Implementar salarios $60/empleado y renta/luz si aplican; mejorar layout,Alta
RQF35,Alertas,Alerta al cliente esperando 7s y abandono con devolución,No cumplido,Customer.waitDelay es 10 para reintentar cola llena; no hay temporizador de 7s en caja ni abandono por espera detectado,Assets/StoreSimulator/Scripts/Customer.cs; Assets/StoreSimulator/Scripts/CashDesk.cs,"Implementar timer de espera por cliente en fila/caja, alerta visual/sonora y devolución",Crítica
RQF36,Árbol del Emprendedor,Bloquear cualquier nodo sin prerequisitos y notificar faltante,Cumplido,Validación central de nodos por requiredNodeIds usada por todos los tipos,Assets/Systems/EntrepreneurTree/EntrepreneurTreeManager.cs; Assets/Systems/EntrepreneurTree/NodeData.cs,Ninguno crítico,Bajo
RQF28-UPG,Mejoras,Cafeína +10% velocidad empleados y Carismático +5% ventas,Parcial,Nodos existen; EntrepreneurTreeUpgradeAdapter calcula multiplicadores e ingresos. Falta prueba Play Mode de ambos efectos,Assets/Systems/EntrepreneurTree/EntrepreneurTreeDefinition.cs; Assets/Systems/EntrepreneurTree/EntrepreneurTreeUpgradeAdapter.cs,Prueba controlada de tiempos/ingresos,Medio
RQNF1,No funcional,30 FPS mínimo,No verificable,"No hay pruebas de rendimiento, profiler, targetFrameRate ni benchmark",Assets/ProjectSettings; Assets/Systems/*,Crear escena/prueba de rendimiento y medición en hardware objetivo,Alta
RQNF2,No funcional,"Windows 10+, 2 núcleos, 4GB RAM, 7GB almacenamiento",No verificable,"Proyecto Unity compatible potencialmente con Windows, pero no se encontró build validado ni prueba en hardware mínimo",ProjectSettings; Packages/manifest.json,Crear build Windows y prueba en equipo mínimo,Alta
RQNF3,No funcional,Guardado/carga conserva progreso completo,Parcial,Múltiples sistemas guardan datos; no se probó carga completa; algunos sistemas usan archivos separados,SaveGameSystem.cs; EntrepreneurTreeSaveIntegration.cs; SupermarketExpansionSystem.cs; ShelfProductSlotSystem.cs,Prueba automática/manual de continuidad completa,Crítica
RQNF4,No funcional,Evitar pérdida de datos si falla guardado,Parcial,Algunos catch registran warning; no hay backup/última versión válida ni notificación de error consistente,SaveGameSystem.cs; EntrepreneurTreeSaveIntegration.cs; SupermarketExpansionSystem.cs,Implementar escritura atómica/backup y error visible,Alta
RQNF5,No funcional,Clientes no esperan más de 7s,No cumplido,"No existe lógica de límite de 7s, solo waitDelay=10 para cola llena",Customer.cs,Implementar RQF35,Crítica
RQNF7,No funcional,Probabilidades de compra se actualizan en tiempo real al cambiar precio,Parcial,"PricingAppUIController refresca en eventos, pero sistema no conectado; botones no son edición libre de teclado",PricingAppUIController.cs; ProductPricingSystem.cs,Conectar y validar actualización inmediata,Alta
RQNF8,No funcional,UI muestra porcentajes claros de compra y extra,Parcial,UI muestra texto porcentual; no barras. Depende de conexión del sistema de pricing,PricingAppUIController.cs,Conectar sistema y revisar legibilidad,Medio
RQNF9,No funcional,Validación de precio 0 a 300% con error claro,Parcial,ProductPricingSystem valida; UI dependiente no conectada. UIPriceLabelWindow base no usa ese sistema,ProductPricingSystem.cs; UIPriceLabelWindow.cs,Conectar ProductPricingSystem a todos los flujos de precio,Alta
RQNF-PERF-100,No funcional,Soportar hasta 100 clientes simultáneos si aplica,No verificable,No hay stress test; spawn base es 5/min y no hay pooling para clientes detectado,CustomerSystem.cs; Customer.cs,Crear prueba con 100 clientes y medición FPS/memoria,Media
RQNF-UI,No funcional,"UI clara, intuitiva y navegable",No verificable,"La UI se genera por código y puede ser navegable, pero no se abrió Play Mode ni screenshots",Assets/UI/Computer/*; UIShopDesktop.prefab,Validar en Play Mode resoluciones 1080p y laptop,Media
RQNF-ARCH,No funcional,Evitar búsquedas pesadas por frame y duplicación de managers,Parcial,"Managers usan singleton y bootstrap evita duplicados; búsquedas FindObjectsByType ocurren por eventos/ciclos, no por frame. Restock usa FindAll cada ciclo",EntrepreneurTreeUIBootstrap.cs; EmployeeRestockCoordinator.cs; ProductInventorySystem.cs; ShelfProductSlotSystem.cs,Cachear placements/packages para reabasto si escala; auditar duplicados en escena,Media
