ID_Original,ID_Interno,Nombre,Descripcion_Resumida,Categoria,Sistemas_Involucrados,Archivos_Involucrados,Prefabs_Escenas,Estado_Actual,Evidencia_Encontrada,Prueba_Realizada,Resultado_Prueba,Errores_Detectados,Que_Falta,Prioridad,Riesgo,Siguiente_Accion
RQF11,RQF11_NivelesSeguridadArbol,"3 niveles de seguridad en árbol (33/66/99%)","Desbloquear cámaras/guardias/alarmas desde árbol aumenta arresto automático",Seguridad,"EntrepreneurTreeSecurityAdapter, ShoplifterSystem, EntrepreneurTreeManager","EntrepreneurTreeSecurityAdapter.cs, ShoplifterSystem.cs, EntrepreneurTreeManager.cs","Game.unity",PARCIAL,"security_1/2/3 definidos en EntrepreneurTreeDefinition; GetAutomaticArrestChance devuelve 0/0.33/0.66/0.99","No Play Mode","Sin Play Mode real","No se verificó activación y persistencia de niveles en ejecución",Play Mode: desbloquear security_1; guardar; recargar; forzar ladrón; verificar 33% arresto,ALTA,ALTA,"Play Mode: desbloquear security nodes y verificar arresto automático"
RQF12,RQF12_RequisitosSeguridad,"Requisitos para desbloquear seguridad","Requiere empleados previos para security_1/2/3; notificación si faltan",Seguridad,"EntrepreneurTreeManager, EntrepreneurTreeDefinition","EntrepreneurTreeManager.cs, EntrepreneurTreeDefinition.cs","Game.unity",PARCIAL,"security_1 requiere employee_7; security_2 requiere employee_8; security_3 requiere employee_14; CanUnlockNode valida","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: intentar desbloquear security sin empleados previos,MEDIA,MEDIA,"Play Mode: probar prerequisito de seguridad"
RQF13,RQF13_GenerarLadrones,"Generar ladrones (1/25 clientes)","Sistema genera ladrones; 1/25 al inicio; tienen elementos visuales identificables",Seguridad,"ShoplifterSystem, ShoplifterAgent, Customer","ShoplifterSystem.cs, ShoplifterAgent.cs, Customer.cs","Game.unity",PARCIAL,"ShouldBecomeThief usa initialOneInNChance; ApplyVisualMarker aplica tinte; gorra/mochila placeholder creada en este lote","No Play Mode","Sin Play Mode real","No se verificó aparición real; placeholder cap/mochila depende del rig del personaje",Play Mode: esperar 25+ clientes o usar AdminMode forceShoplifterSpawn; verificar ladrón con gorra/mochila,ALTA,ALTA,"Play Mode con AdminMode: forceShoplifterSpawn=true"
RQF14,RQF14_ValorRoboObjetivo,"Valor de robo objetivo asignado a ladrón","Ladrón tiene valor objetivo; selecciona productos de mayor valor para Expert/Special",Seguridad,"ShoplifterSystem, ShoplifterAgent, EntrepreneurTreeRobberyInventoryBridge","ShoplifterSystem.cs, ShoplifterAgent.cs, RobberyInventoryBridge.cs","Game.unity",PARCIAL,"GetTargetStealValue implementado; TryReserveStolenItems ordena por valor para Expert/Special","No Play Mode","Sin Play Mode real","No verificado con productos reales en escena",Play Mode: forzar ladrón con productos en anaqueles; verificar selección y valor robado,MEDIA,MEDIA,"Play Mode: forzar ladrón con stock; verificar RobbedItem list"
RQF15,RQF15_TresTiposLadron,"Tres tipos de ladrones con comportamientos distintos","Común: ruta simple; Sospechoso: actúa cuando precio alto; Especial: alto valor/disimulo",Seguridad,"ShoplifterSystem, ShoplifterAgent, EntrepreneurTreeRobberyInventoryBridge","ShoplifterSystem.cs, ShoplifterAgent.cs","Game.unity",PARCIAL,"Enum ShoplifterType: Common/Suspicious/Expert/Fast/Special; diferencias de velocidad y valor-objetivo implementadas","No Play Mode","Sin Play Mode real","Comportamiento de Sospechoso (precio alto) y Especial (disimulo) no verificado visualmente",Play Mode: forzar cada tipo con AdminMode forcedShoplifterType,MEDIA,MEDIA,"Play Mode: probar Common/Suspicious/Special con AdminMode"
RQF16,RQF16_EscaladoRobos,"Escalado de robos con expansiones (hasta 6.5%)","Frecuencia de ladrones aumenta con expansiones de venta; máximo 6.5%",Seguridad,"ShoplifterSystem, SupermarketExpansionSystem","ShoplifterSystem.cs, SupermarketExpansionSystem.cs","Game.unity",PARCIAL,"CalculateScaledChance usa GetPurchasedSalesExpansionCount; maxThiefChance=0.065 configurado","No Play Mode","Sin Play Mode real","No verificado con expansiones reales en escena",Play Mode: comprar expansiones y verificar incremento en tasa de ladrones,MEDIA,MEDIA,"Play Mode: comprar 2-3 expansiones de venta; comparar tasa de ladrones"
RQF17,RQF17_InterceptarLadrones,"Interceptar ladrones manualmente antes de escapar","Jugador acerca e interactúa; recupera productos/puntos si captura; valor perdido si escapa",Seguridad,"ShoplifterInteractable, ShoplifterAgent, ShoplifterSystem, RobberyInventoryBridge","ShoplifterInteractable.cs, ShoplifterAgent.cs, ShoplifterSystem.cs","Game.unity",PARCIAL,"TryManualCapture; NotifyManualArrest; NotifyEscaped; ShoplifterInteractable responde a interacción","No Play Mode","Sin Play Mode real","No verificado en ejecución; necesita escena real con ladrón",Play Mode: capturar y dejar escapar ladrón; verificar inventario y stats,ALTA,ALTA,"Play Mode: forzar ladrón y probar captura manual vs escape"
RQF18,RQF18_AutoArrestoSeguridad,"Arresto automático según nivel de seguridad (cámaras/guardias/alarmas)","Nivel 1=33%; Nivel 2=66%; Nivel 3=99% arresto automático",Seguridad,"ShoplifterSystem, EntrepreneurTreeSecurityAdapter","ShoplifterSystem.cs, EntrepreneurTreeSecurityAdapter.cs","Game.unity",PARCIAL,"TryAutomaticArrest consulta GetAutomaticArrestChance del adapter; roll de probabilidad implementado","No Play Mode","Sin Play Mode real","No se verificó con niveles activos en ejecución",Play Mode: desbloquear security niveles y forzar ladrones para verificar arrestos automáticos,ALTA,ALTA,"Play Mode: security_1 desbloqueado + forzar 5 ladrones"
RQF19,RQF19_AlertasLadrones,"Alertas visual y sonora de ladrones","Notificación indica detección/arresto/escape; visual y sonora",Seguridad,"ShoplifterSystem, UIGame, AudioSystem","ShoplifterSystem.cs, UIGame.cs, AudioSystem.cs","Game.unity",PARCIAL,"ShowShoplifterNotification llama UIGame.AddNotification y AudioSystem.Play2D con null-safety","No Play Mode","Sin Play Mode real","No verificado si audio clip configurado; notificación visual pendiente de confirmar",Play Mode: verificar notificación visual al detectar ladrón y audio si clip configurado,MEDIA,MEDIA,"Play Mode: verificar notificación cuando ladrón es detectado"
RQF20,RQF20_ReporteRobos,"Registrar robos en reporte diario","Reporte incluye cantidad de robos/valor robado/productos/capturados/escapados",Seguridad,"StatsDatabase, UIStats, ShoplifterSystem","StatsDatabase.cs, UIStats.cs, ShoplifterSystem.cs","Stats.unity",PARCIAL,"StatsDatabase.RegisterThief*/BuildDailyRobberySummary implementado; UIStats lo muestra","No Play Mode","Sin Play Mode real","No verificado con robos reales en un día completo",Play Mode: forzar 2-3 ladrones; cerrar día; verificar sección robos en reporte diario,ALTA,ALTA,"Play Mode: admin forceShoplifterSpawn + cerrar día + verificar Stats"
RQF21,RQF21_GuardadoAutomatico,"Guardado automático al finalizar día","Guarda dinero/día/inventario/precios/expansiones/empleados/roles/árbol/seguridad",Guardado,"SaveGameSystem, EntrepreneurTreeSaveIntegration, SupermarketExpansionSystem, ShelfProductSlotSystem","SaveGameSystem.cs, EntrepreneurTreeSaveIntegration.cs, SupermarketExpansionSystem.cs, ShelfProductSlotSystem.cs","Game.unity",PARCIAL,"UIGame.LeaveToNext llama SaveGameSystem.Save; dataSaveEvent notifica a integraciones","No Play Mode","Sin Play Mode real","No verificado si todos los subsistemas realmente persisten sus datos en un ciclo completo",Play Mode: finalizar día; revisar archivos .dat; recargar; verificar estado completo,CRITICA,ALTA,"Play Mode: cerrar día con actividad; revisar persistentDataPath; recargar"
RQF22,RQF22_ClientesDiarios,"50-75 clientes iniciales; +15% por expansión de venta","Cantidad inicial entre 50 y 75; aumenta 15% por cada zona de venta comprada",Clientes,"CustomerSystem, ExpansionCustomerDemandAdapter, SupermarketExpansionSystem","ExpansionCustomerDemandAdapter.cs, SupermarketExpansionSystem.cs, CustomerSystem.cs","Game.unity",PARCIAL,"ExpansionCustomerDemandAdapter aplica SalesExpansionCustomerBonusPercent=0.15; baseSpawnRate capturado en Awake; clamped a maxSpawnRate=200. Base rate no confirma 50-75 hardcoded.","No Play Mode","Sin Play Mode real","CustomerSystem.spawnRate base no verificado como 50-75; puede ser diferente en asset base",Play Mode: verificar CustomerSystem.spawnRate base en Inspector y con 0 y N expansiones,MEDIA,MEDIA,"Inspector: buscar CustomerSystem; verificar spawnRate; comparar con/sin expansiones"
RQF23,RQF23_PagoTarjeta,"Pago con tarjeta","Clientes pagan con tarjeta; jugador interactúa con pantalla de caja",Caja,"CashDesk, Customer, CustomerCart","CashDesk.cs, Customer.cs, CustomerCart.cs","Game.unity",PARCIAL,"CashDesk.TryStartAutomatedCheckout existe; Customer tiene PaymentType; lógica de tarjeta en asset base","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: esperar cliente con tarjeta; interactuar con caja,MEDIA,MEDIA,"Play Mode: verificar flujo pago tarjeta manual y automático"
RQF24,RQF24_PagoEfectivo,"Pago en efectivo con cambio manual","Jugador entrega cambio correcto; UI muestra total/monto entregado/cambio",Caja,"CashDesk, Customer, CustomerCart","CashDesk.cs, Customer.cs, CustomerCart.cs","Game.unity",PARCIAL,"CashDesk implementa pago en efectivo con lógica de cambio en asset base","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: esperar cliente con efectivo; verificar UI de cambio y proceso correcto,MEDIA,MEDIA,"Play Mode: verificar flujo pago efectivo"
RQF25A,RQF25A_GestionEmpleados,"App Empleados: consultar/contratar/asignar rol","Desde app Empleados en computadora; consultar desbloqueados; contratar; asignar rol",Empleados,"EmployeeAppUIController, EntrepreneurEmployeeSystem","EmployeeAppUIController.cs, EntrepreneurEmployeeSystem.cs","Game.unity",PARCIAL,"EmployeeAppUIController con listas de bloqueados/disponibles/contratados; TryHireEmployee implementado","No Play Mode","Sin Play Mode real","Auto-discover de prefabs implementado en este lote; NPC spawn depende de Customer activos en escena",Play Mode: desbloquear empleado; abrir app; contratar; verificar NPC aparece,CRITICA,ALTA,"Play Mode: desbloquear employee_1; contratar; verificar NPC"
RQF26A,RQF26A_CajeroAutomatico,"Cajero automático atiende clientes (1-12s)","Cajero asignado atiende automáticamente; tiempo 1-12s según productos/pago",Empleados,"EmployeeCashierCoordinator, CashDesk, EntrepreneurEmployeeSystem","EmployeeCashierCoordinator.cs, CashDesk.cs, EntrepreneurEmployeeSystem.cs","Game.unity",PARCIAL,"EmployeeCashierCoordinator.Update busca caja disponible con cliente esperando; TryStartAutomatedCheckout implementado","No Play Mode","Sin Play Mode real","No verificado que el flujo completo funcione sin double-cobro ni conflicto con jugador",Play Mode: contratar cajero; asignar a caja; esperar cliente; verificar atención automática,CRITICA,ALTA,"Play Mode: cajero asignado + cliente esperando = atención automática"
RQF27A,RQF27A_SurtidorAutomatico,"Surtidor abastece anaqueles automáticamente","Surtidor repone muebles con stock del almacén; jugador asigna producto por slot",Empleados,"EmployeeRestockCoordinator, ShelfProductSlotSystem, ProductInventorySystem","EmployeeRestockCoordinator.cs, ShelfProductSlotSystem.cs, ProductInventorySystem.cs","Game.unity",PARCIAL,"EmployeeRestockCoordinator.Update usa NeedsRestock; ShelfProductSlotSystem.AssignProductToSlot implementado","No Play Mode","Sin Play Mode real","No verificado en ejecución real con slot asignado y stock disponible",Play Mode: asignar surtidor; asignar producto a slot; verificar que surtidor repone,ALTA,ALTA,"Play Mode: contratar surtidor; asignar slot; verificar reposición"
RQF28A,RQF28A_ModificarPrecio,"UI para modificar precio de venta individual","UI muestra nombre/precio ideal/actual/límites/confirmación; editable por producto",Precios,"PricingAppUIController, ProductPricingSystem, ItemDatabase","PricingAppUIController.cs, ProductPricingSystem.cs, ItemDatabase.cs","Game.unity",PARCIAL,"PricingAppUIController con RefreshRow muestra ideal/actual/probabilidad; ConfirmPrice llama TrySetCurrentPrice","No Play Mode","Sin Play Mode real","No verificado en ejecución visual",Play Mode: abrir app Precios; editar precio de Leche; confirmar UI y persistencia,ALTA,ALTA,"Play Mode: abrir app Precios y editar precio"
RQF29,RQF29_VentasAutomaticas,"Procesar ventas automáticas","Al completarse venta: descontar inventario; sumar dinero; notificar si agotado",Ventas,"CashDesk, ProductInventorySystem, StatsDatabase","CashDesk.cs, ProductInventorySystem.cs, StatsDatabase.cs, Customer.cs","Game.unity",PARCIAL,"CashDesk.OnBillCustomer descuenta inventory; StatsDatabase.RegisterSoldProduct registra; agotado notificado","No Play Mode","Sin Play Mode real","No verificado con venta real; balance único no confirmado",Play Mode: vender producto; verificar inventario reducido; dinero aumentado; stock agotado = notificación,CRITICA,ALTA,"Play Mode: venta manual en caja con stock bajo"
RQF25B,RQF25B_ProbabilidadCompra,"Probabilidad de compra por precio (fórmula k=0.1)","P=100% si precio<=ideal; cae con k*over/ideal si precio>ideal; clamped [0,1]",Precios,"ProductPricingSystem, ProductPurchaseProbabilityAdapter, Customer","ProductPricingSystem.cs, ProductPurchaseProbabilityAdapter.cs, Customer.cs","Game.unity",PARCIAL,"GetPurchaseProbabilityForPrice implementado con k=probabilitySlope=0.10; Customer llama ShouldCustomerBuy","No Play Mode","Sin Play Mode real","No verificado con clientes reales comprando/rechazando",Play Mode: poner precio ideal/alto/bajo; observar clientes comprando/rechazando,ALTA,ALTA,"Play Mode: precio alto -> clientes rechazan; precio ideal -> compran"
RQF26B,RQF26B_CompraExtra,"Probabilidad de compra extra cuando precio<ideal","Extra = (under/ideal)*0.10; clamped [0,1]",Precios,"ProductPricingSystem, ProductPurchaseProbabilityAdapter, Customer","ProductPricingSystem.cs, Customer.cs, CustomerCart.cs","Game.unity",PARCIAL,"GetExtraPurchaseProbabilityForPrice implementado; Customer llama ShouldCustomerBuyExtra y valida stock","No Play Mode","Sin Play Mode real","No verificado con stock real; posible compra fantasma si stock bajo",Play Mode: precio bajo con stock; verificar compra extra en CustomerCart,ALTA,ALTA,"Play Mode: precio bajo con stock suficiente; observar compra extra"
RQF27B,RQF27B_MostrarProbabilidadesUI,"Mostrar probabilidades en UI de precios","UI de fijación de precios muestra Pcompra% y Pextra%",UI,"PricingAppUIController, ProductPricingSystem","PricingAppUIController.cs, ProductPricingSystem.cs","Game.unity",PARCIAL,"RefreshRow muestra porcentajes en columnas de probabilidad","No Play Mode","Sin Play Mode real","No verificado visualmente si se muestra correctamente",Play Mode: abrir UI Precios; verificar columnas prob y extra visibles con valores correctos,MEDIA,MEDIA,"Play Mode: abrir app Precios y leer columnas de probabilidad"
RQF28B,RQF28B_PrecioCero,"Vender a $0.00 como estrategia","P=100%; sin ingreso directo; extra calculado; sin NaN",Precios,"ProductPricingSystem, CashDesk, StatsDatabase","ProductPricingSystem.cs, CashDesk.cs, StatsDatabase.cs","Game.unity",PARCIAL,"precio 0 permitido; CashDesk.RegisterZeroPriceSale; extra calculado a 10% con ideal de ejemplo","No Play Mode","Sin Play Mode real","No verificado end-to-end",Play Mode: fijar precio $0.00; esperar venta; verificar balance y reporte,MEDIA,MEDIA,"Play Mode: fijar precio Leche a $0.00 y verificar venta"
RQF34,RQF34_ReporteDiario,"Reporte diario completo","Ventas/gastos/salarios/robos/renta/luz/ganancias netas/agotados/clientes perdidos",Reportes,"StatsDatabase, UIStats, UIGame","StatsDatabase.cs, UIStats.cs, UIGame.cs","Stats.unity",PARCIAL,"BuildInventoryExpansionSummary incluye secciones ampliadas (Finanzas del día/Clientes/Robos/Extra/Zero)","No Play Mode","Sin Play Mode real","No verificado con datos reales de un día completo",Play Mode: completar día con actividad; verificar todos los campos en Stats scene,ALTA,ALTA,"Play Mode: día completo con ventas/robos/empleados"
RQF35,RQF35_Espera7Segundos,"Alerta si cliente espera >7s en caja sin atención","Alerta visual/sonora a los 7s; cliente abandona si no atendido; productos regresan",Caja,"Customer, CashDesk, UIGame","Customer.cs, CashDesk.cs, UIGame.cs","Game.unity",PARCIAL,"CheckoutWaitTimer y NotifyCheckoutWaitingForService implementados; abandono y retorno de productos","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: dejar cliente en caja sin atender 7+ segundos,MEDIA,MEDIA,"Play Mode: dejar cliente en caja sin atender 10 segundos"
RQF36,RQF36_GateArbol,"No desbloquear sin árbol","Ninguna habilidad/producto/empleado/seguridad se activa sin nodo desbloqueado",Arbol,"EntrepreneurTreeManager, EntrepreneurTreeProductUnlockAdapter, EntrepreneurTreeEmployeeUnlockAdapter, EntrepreneurTreeSecurityAdapter","EntrepreneurTreeManager.cs, EntrepreneurTreeProductUnlockAdapter.cs","Game.unity",PARCIAL,"CanUnlockNode valida; adapters verifican IsUnlocked antes de retornar activo","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: confirmar que productos/empleados bloqueados en árbol no aparecen en UI de compra,ALTA,MEDIA,"Play Mode: verificar bloqueo de productos no desbloqueados en árbol"
RQF28C,RQF28C_MejorasArbol,"Desbloquear mejoras operativas con puntos del Árbol","Mejoras muestran nombre/costo/requisito/efecto; se activan al desbloquear nodo",Arbol,"EntrepreneurTreeManager, UpgradesUIController","EntrepreneurTreeManager.cs, UpgradesUIController.cs, EntrepreneurTreeDefinition.cs","Game.unity",PARCIAL,"Mejoras definidas en EntrepreneurTreeDefinition; UpgradesUIController las muestra","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: desbloquear mejora; verificar efecto en gameplay,MEDIA,MEDIA,"Play Mode: desbloquear upgrade node y verificar efecto"
RQNF1,RQNF1_Rendimiento30FPS,"30 FPS mínimo en hardware moderado","30 FPS en hardware: 2 cores / 4GB RAM / 7GB storage",Performance,"Unity Engine","Todos los scripts","Game.unity",BLOQUEADO,"Sin herramienta de profiling en este entorno","No Play Mode","Sin evidencia","No se puede medir FPS sin Unity corriendo en hardware objetivo",Requiere Play Mode en hardware real con Profiler,MEDIA,MEDIA,"Ejecutar Unity Profiler en PC objetivo con carga máxima"
RQNF2,RQNF2_RequisitosHW,"Windows 10+; 2 cores; 4GB RAM; 7GB storage","Sistema compatible con hardware mínimo especificado",Técnico,"Unity Build System","Build configuration","Build/",BLOQUEADO,"Requiere compilación y ejecución en hardware mínimo","Sin Build","Sin evidencia","Requiere build real",Requiere build Windows para verificar,BAJA,BAJA,"Generar build Windows; probar en hardware mínimo"
RQNF3,RQNF3_GuardadoCompleto,"Guardado conserva todo el progreso","Al cargar: dinero/día/inventario/precios/árbol/expansiones/empleados/roles/seguridad restaurados",Guardado,"SaveGameSystem, EntrepreneurTreeSaveIntegration, todos los sistemas","SaveGameSystem.cs, EntrepreneurTreeSaveIntegration.cs, SupermarketExpansionSystem.cs, ShelfProductSlotSystem.cs","Game.unity",PARCIAL,"SaveGameSystem con escritura atómica; EntrepreneurTreeSaveIntegration guarda árbol/empleados/expansión/seguridad; ShelfProductSlotSystem guarda slots","No Play Mode","Sin Play Mode real","No verificado ciclo guardar/cargar con verificación de cada campo",Play Mode: guardar; reiniciar escena; cargar; verificar cada campo,CRITICA,ALTA,"Play Mode: cerrar día; reabrir Unity; verificar estado completo"
RQNF4,RQNF4_SinPerdidaGuardado,"Sin pérdida de información en guardado","Notificación si error; recuperar de backup",Guardado,"SaveGameSystem, ShelfProductSlotSystem","SaveGameSystem.cs, ShelfProductSlotSystem.cs","Game.unity",PARCIAL,"WriteAtomic usa .tmp + rename; .bak backup; fallback carga backup","No Play Mode","Sin Play Mode real","No verificado con corrupción controlada",Play Mode: simular corrupción de .dat; verificar recuperación desde .bak,BAJA,BAJA,"Corromper archivo .dat manualmente; reiniciar juego; verificar restauración"
RQNF5,RQNF5_Espera7sValidacion,"No más de 7s en caja sin atención (validación)","Validar que timer de 7s funciona correctamente",Caja,"Customer, CashDesk","Customer.cs, CashDesk.cs","Game.unity",PARCIAL,"CheckoutWaitTimer implementado","No Play Mode","Sin Play Mode real","No verificado en ejecución",Play Mode: dejar cliente en caja > 7 segundos,MEDIA,MEDIA,"Play Mode: dejar cliente en caja sin atender"
RQNF6,RQNF6_ProductoEnMuebleCorrecto,"Productos en mueble correcto por categoría","Rechazar si producto no compatible con storageType del mueble",Inventario,"ShelfProductSlotSystem, PlacementObject, PlacementSystem","ShelfProductSlotSystem.cs, PlacementObject.cs, PlacementSystem.cs","Game.unity",PARCIAL,"CanPlaceProductOnFurniture centraliza validación","No Play Mode","Sin Play Mode real","No verificado con combinaciones válidas/inválidas",Play Mode: intentar colocar producto incompatible en mueble,MEDIA,MEDIA,"Play Mode: intentar colocar lácteo en anaquel seco; verificar rechazo"
